x,y
2.0,3.226619280396786
2.04040404040404,3.691586005752429
2.080808080808081,3.5210666260980066
2.121212121212121,3.8005392704100736
2.1616161616161618,3.5671459489177204
2.202020202020202,3.411836455951419
2.242424242424242,3.106220375587315
2.282828282828283,4.167056550946511
2.323232323232323,3.447469714956774
2.3636363636363638,4.250851346136669
2.404040404040404,3.9755294600349598
2.4444444444444446,3.7931735632750776
2.484848484848485,4.157140061546085
2.525252525252525,4.03129489407297
2.5656565656565657,4.082726445922256
2.606060606060606,4.74366908647035
2.6464646464646466,4.475980446386158
2.686868686868687,4.464709377346635
2.7272727272727275,3.835318439655715
2.7676767676767677,4.075801481028592
2.808080808080808,4.237193200729173
2.8484848484848486,4.364742680993177
2.888888888888889,5.189852951820423
2.9292929292929295,4.409755250486424
2.9696969696969697,4.460335982859202
3.0101010101010104,4.707198267645393
3.0505050505050506,4.417912826212425
3.090909090909091,4.893540646723487
3.1313131313131315,4.792069026744619
3.1717171717171717,5.383468319391818
3.212121212121212,4.095014311938033
3.2525252525252526,5.459485005071328
3.2929292929292933,4.925485332882584
3.3333333333333335,4.464398757196006
3.3737373737373737,4.3849715439894155
3.4141414141414144,5.00590871730745
3.4545454545454546,4.520192924861331
3.494949494949495,4.695799894974818
3.5353535353535355,4.503595131433312
3.575757575757576,4.658593561153283
3.6161616161616164,5.003258048434004
3.6565656565656566,5.316114015484985
3.6969696969696972,5.631850813358632
3.7373737373737375,4.80218036124735
3.7777777777777777,4.893460652973501
3.8181818181818183,4.469627031106001
3.858585858585859,5.7156529559103975
3.8989898989898992,5.150884178552048
3.9393939393939394,5.295533552094143
3.97979797979798,5.138138730643615
4.020202020202021,5.43032579804172
4.0606060606060606,5.234950864797779
4.101010101010101,4.7796804955224195
4.141414141414142,4.558503051723782
4.181818181818182,4.448062159131358
4.222222222222222,5.528973011335808
4.262626262626263,4.650571160096557
4.303030303030303,4.494091164354807
4.343434343434343,4.449209494319857
4.383838383838384,4.605392008291365
4.424242424242424,4.966871383328834
4.464646464646465,4.674736455589162
4.505050505050505,4.582762676533367
4.545454545454546,5.303664302419562
4.5858585858585865,4.841780373761548
4.626262626262626,4.409995742531833
4.666666666666667,4.654525448135618
4.707070707070708,4.8576704659270415
4.747474747474747,3.8348990251004524
4.787878787878788,4.696357747619809
4.828282828282829,3.739574632159981
4.8686868686868685,3.968254413676281
4.909090909090909,3.6885613822116294
4.94949494949495,4.717528763955012
4.98989898989899,4.385371178256751
5.030303030303031,4.52777313465424
5.070707070707071,3.4657455130537005
5.111111111111111,4.491124027140926
5.151515151515152,4.203907186167231
5.191919191919192,3.628974643465356
5.232323232323233,3.7421043766842903
5.272727272727273,4.091793379108823
5.313131313131313,3.7430268186240157
5.353535353535354,3.3815567414211047
5.3939393939393945,3.9538054161530227
5.434343434343434,3.8000627183783444
5.474747474747475,3.464342752588692
5.515151515151516,3.2692780485681388
5.555555555555555,2.968013502512872
5.595959595959597,2.949867312270108
5.636363636363637,2.941219743427201
5.6767676767676765,2.685755256086252
5.717171717171718,3.1795621878726688
5.757575757575758,3.097973468393121
5.7979797979797985,2.3098349851745925
5.838383838383839,2.191108490454792
5.878787878787879,2.2957628704826223
5.91919191919192,2.1946812123441477
5.95959595959596,2.395411993881865
6.0,2.0187473917355714
